,city,object,type,geometry,lat,lon
98,Москва,amenity,cafe,POINT (37.4830885 55.7698272),55.7698272,37.4830885
99,Москва,amenity,cafe,POINT (37.5937454 55.7699843),55.7699843,37.5937454
100,Москва,amenity,cafe,POINT (37.50604 55.7432939),55.7432939,37.50604
101,Москва,amenity,cafe,POINT (37.630399 55.8697285),55.8697285,37.630399
102,Москва,amenity,cafe,POINT (37.5904446 55.8706639),55.8706639,37.5904446
103,Москва,amenity,cafe,POINT (37.5878456 55.8747675),55.8747675,37.5878456
104,Москва,amenity,cafe,POINT (37.628824 55.7795919),55.7795919,37.628824
105,Москва,amenity,cafe,POINT (37.638425 55.8111129),55.8111129,37.638425
106,Москва,amenity,cafe,POINT (37.6511706 55.6657973),55.6657973,37.6511706
107,Москва,amenity,cafe,POINT (37.5860675 55.7737934),55.7737934,37.5860675
108,Москва,amenity,cafe,POINT (37.6376851 55.8074121),55.8074121,37.6376851
109,Москва,amenity,cafe,POINT (37.6042686 55.8648069),55.8648069,37.6042686
110,Москва,amenity,cafe,POINT (37.5505158 55.5480669),55.5480669,37.5505158
111,Москва,amenity,cafe,POINT (37.4919947 55.6832512),55.6832512,37.4919947
112,Москва,amenity,cafe,POINT (37.5865861 55.8009625),55.8009625,37.5865861
113,Москва,amenity,cafe,POINT (37.6226597 55.7545312),55.7545312,37.6226597
114,Москва,amenity,cafe,POINT (37.6585419 55.5840124),55.5840124,37.6585419
115,Москва,amenity,cafe,POINT (37.6051752 55.609362),55.609362,37.6051752
116,Москва,amenity,cafe,POINT (37.6219655 55.7091356),55.7091356,37.6219655
117,Москва,amenity,cafe,POINT (37.6223362 55.7093969),55.7093969,37.6223362
118,Москва,amenity,cafe,POINT (37.6222314 55.7079507),55.7079507,37.6222314
119,Москва,amenity,cafe,POINT (37.6218884 55.7080597),55.7080597,37.6218884
120,Москва,amenity,cafe,POINT (37.6223071 55.7091282),55.7091282,37.6223071
121,Москва,amenity,cafe,POINT (37.6220148 55.7093922),55.7093922,37.6220148
122,Москва,amenity,cafe,POINT (37.6220093 55.7093406),55.7093406,37.6220093
123,Москва,amenity,cafe,POINT (37.6222844 55.707847),55.707847,37.6222844
124,Москва,amenity,cafe,POINT (37.6219747 55.7092401),55.7092401,37.6219747
125,Москва,amenity,cafe,POINT (37.6220254 55.7094982),55.7094982,37.6220254
126,Москва,amenity,cafe,POINT (37.6220185 55.7094503),55.7094503,37.6220185
127,Москва,amenity,cafe,POINT (37.6219598 55.7079682),55.7079682,37.6219598
128,Москва,amenity,cafe,POINT (37.6223129 55.7091655),55.7091655,37.6223129
129,Москва,amenity,cafe,POINT (37.6223537 55.709483),55.709483,37.6223537
130,Москва,amenity,cafe,POINT (37.6222176 55.7078489),55.7078489,37.6222176
131,Москва,amenity,cafe,POINT (37.6240418 55.7611536),55.7611536,37.6240418
132,Москва,amenity,cafe,POINT (37.4047502 55.7677056),55.7677056,37.4047502
133,Москва,amenity,cafe,POINT (37.61281 55.735131),55.735131,37.61281
134,Москва,amenity,cafe,POINT (37.5990744 55.7738478),55.7738478,37.5990744
135,Москва,amenity,cafe,POINT (37.7125119 55.7949773),55.7949773,37.7125119
136,Москва,amenity,cafe,POINT (37.6718904 55.7748626),55.7748626,37.6718904
137,Москва,amenity,cafe,POINT (37.4493719 55.7279643),55.7279643,37.4493719
